no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto,cabang,review_length,ulasan_clean,sentiment,pos_words,neg_words,sentiment_score
169,,Yemimaa Sekar,5,3 bulan lalu,"Tempat nyaman, matcha enak",,Tidak,Machia Seturan,26,tempat nyaman matcha enak,positif,2,0,2
174,,Yanuar Satria Kamal,4,3 bulan lalu,"tempatnya nyaman klo sore, di luar klo pagi sampai siang di dalam",,Tidak,Machia Seturan,65,tempat nyaman sore luar pagi sampai siang,positif,1,0,1
175,,006_AnnisaRahma,4,3 bulan lalu,Tempatnya bagus,,Tidak,Machia Seturan,15,tempat bagus,positif,1,0,1
176,,Assyfa,5,3 bulan lalu,"Ambiencenya seru bgt suka, mas mbanya ramah juga",,Tidak,Machia Seturan,48,ambiencenya seru banget suka mbanya ramah,positif,2,0,2
177,,Adilah Nur Aisyah,5,3 bulan lalu,"untuk matcha nya mereka pake ceremonial, jadi wajar dari segi harga agak pricey. bisa dipilih juga mau tipe yang bitter or nutty dll, semuanya bisa dijelasin sama baristanya. untuk tempat sendiri ga begitu banyak kursi yaa di indoor nya.",,Tidak,Machia Seturan,237,matcha pake ceremonial jadi wajar segi harga agak mahal pilih tipe bitter nutty semua dijelasin sama baristanya tempat sendiri begitu banyak kursi indoor,netral,0,1,-1
178,,Naia Armeilyta,5,3 bulan lalu,seruu,,Tidak,Machia Seturan,5,seruu,positif,0,0,0
179,,Farras Fikriyyah Kautsar,5,3 bulan lalu,"tempatnya bagus, nyaman, cocok buat anak muda, matcha nya juag enak bgttt",,Tidak,Machia Seturan,73,tempat bagus nyaman cocok buat anak muda matcha juag enak banget,positif,4,0,4
180,,aaa123 aaa123,5,3 bulan lalu,estetika parahhhh,,Tidak,Machia Seturan,17,estetika parah,positif,0,0,0
183,,siska andita,5,3 bulan lalu,Wajib di coba… mantapp,,Tidak,Machia Seturan,22,wajib coba mantap,positif,1,0,1
187,,Lisdha Azhani,5,3 bulan lalu,"pelayan ramah, rekomenn bgt buat yang suka matcha!!!!!",,Tidak,Machia Seturan,54,layan ramah rekomenn banget buat suka matcha,positif,2,0,2
188,,Mita Ari Wijayanti,5,3 bulan lalu,tempat nyaman dan pelayanan okk,,Tidak,Machia Seturan,31,tempat nyaman layan,positif,1,0,1
189,,nurhana hana,5,3 bulan lalu,"Tempat nya bagus, instagramable bgt
Cocok bgt buat yang mau nongkrong
Wajib kesini lg deh",,Tidak,Machia Seturan,91,tempat bagus instagramable banget cocok banget buat nongkrong wajib kesini lagi,positif,3,0,3
191,,mahdi imam,5,3 bulan lalu,"Tempatnya nyaman, banyak colokan, pelayanannya ramah, dan ga nunggu lama!!!",,Tidak,Machia Seturan,75,tempat nyaman banyak colok layan ramah nunggu lama,positif,2,1,1
192,,Tiffany,5,3 bulan lalu,enak banget matchanya!,,Tidak,Machia Seturan,22,enak banget matchanya,positif,1,0,1
194,,Abigail Brenda Pasorong Randa,5,3 bulan lalu,stabil,,Tidak,Machia Seturan,6,stabil,positif,0,0,0
195,,Katarina Winter,5,3 bulan lalu,"Ambiencenya bagus, rasanya enak, instagramable",,Tidak,Machia Seturan,46,ambiencenya bagus rasa enak instagramable,positif,3,0,3
197,,leekoh hui,5,3 bulan lalu,Matcha pistachio nya enaknyo,,Tidak,Machia Seturan,28,matcha pistachio enaknyo,positif,0,0,0
198,,Noer Ai,5,3 bulan lalu,Matcha rasa premium tempat adem,,Tidak,Machia Seturan,31,matcha rasa premium tempat adem,positif,1,0,1
199,,Hariss S,5,3 bulan lalu,"Pelayanan baguss bangat di sambut hangat
Dan kasirnya sangat detail jelasin
Semangatt kak nobert",,Tidak,Machia Seturan,98,layan baguss bangat sambut hangat kasir sangat detail jelasin semangatt nobert,positif,0,0,0
200,,Dinar Amalia,5,3 bulan lalu,"Tempatnya bagus bersih enak buat nugas , kasir nya ramah kak nobert 👍🏻👍🏻👍🏻👍🏻",,Tidak,Machia Seturan,76,tempat bagus bersih enak buat nugas kasir ramah nobert,positif,4,0,4
201,,Nobert aris,5,3 bulan lalu,Baguss dan enak poll,,Tidak,Machia Seturan,20,baguss enak banget,positif,1,0,1
202,,Caroline Tasya,5,3 bulan lalu,"matchanyaa enak bangett, tempatnya juga oke banget banyak tempat foto",,Tidak,Machia Seturan,69,matchanyaa enak banget tempat banget banyak tempat foto,positif,1,0,1
207,,Sinyo Herde,5,3 bulan lalu,nyaman,,Tidak,Machia Seturan,6,nyaman,positif,1,0,1
209,,SINDY RAFI ERLAMBANG,5,3 bulan lalu,cozy bngttt plss kesini matcha nya enaaakk,,Tidak,Machia Seturan,42,cozy bngt plss kesini matcha enak,positif,2,0,2
210,,Dita Amalia Fitriani,5,3 bulan lalu,enakk rekomen!!!,,Tidak,Machia Seturan,16,enak recommended,positif,2,0,2
212,,Ad It,5,3 bulan lalu,Tempatnya nyaman matchanya juga enak👍,,Tidak,Machia Seturan,37,tempat nyaman matchanya enak,positif,2,0,2
213,,Kunyuk Kuda,5,3 bulan lalu,"Matchanya enak bangett pelayanannya juga ramah, yang namanya asa ramah banget baik asik lucu bingang 5",,Tidak,Machia Seturan,102,matchanya enak banget layan ramah nama ramah banget baik asik lucu bingang,positif,4,0,4
215,,Diska Alvi,5,3 bulan lalu,"minumanya enak, tempatnya nyaman, pelayananya ramah juga",,Tidak,Machia Seturan,56,minumanya enak tempat nyaman pelayananya ramah,positif,3,0,3
218,,Kate Sullivan,5,3 bulan lalu,matcha kualitas sangat bagus,,Tidak,Machia Seturan,28,matcha kualitas sangat bagus,positif,1,0,1
219,,Ardya Nur Pramesti,5,3 bulan lalu,"enak bangett, aku cobain yang pistachio kyoto. enakkk manis nya dikit tp dari susu pistachio nya. harus cobainn!!!!",,Tidak,Machia Seturan,115,enak banget cobain pistachio kyoto enak manis dikit susu pistachio cobainn,positif,3,0,3
221,,muhammad zazuli,5,3 bulan lalu,suka sama pelayanannya ka angga dan tim yang lain😊,,Tidak,Machia Seturan,50,suka sama layan angga lain,positif,1,0,1
224,,Zauza Naila,5,3 bulan lalu,"kopinya best butterscoth sihh, service nya ramah2 semua",,Tidak,Machia Seturan,55,kopi best butterscoth sihh service ramah semua,positif,2,0,2
225,,YUSRIL IHZA BINTANG CEMERLANG,5,3 bulan lalu,Cocok pecinta matchaaa,,Tidak,Machia Seturan,22,cocok cinta matcha,positif,2,0,2
227,,SALWA ASHFIYA -,5,3 bulan lalu,"tempatnya instragramable, staff nya ramah, matcha nya enak!",,Tidak,Machia Seturan,59,tempat instragramable staff ramah matcha enak,positif,2,0,2
228,,SHOPIA NUR FAUZIAH -,5,3 bulan lalu,matchanya enak bangettt😋,,Tidak,Machia Seturan,24,matchanya enak banget,positif,1,0,1
229,,Khoe Annisa,5,3 bulan lalu,suasana nya nyaman,,Tidak,Machia Seturan,18,suasana nyaman,positif,1,0,1
230,,SHAFIYA WANDA WANUDYA -,5,3 bulan lalu,"matchanya ada sampe ceremonial grade, kalo untuk pemula masi bisa toleran, cozy tempatnya adem",,Tidak,Machia Seturan,94,matchanya sampe ceremonial grade mula mas toleran cozy tempat adem,positif,2,0,2
231,,najwa khoirunissa azzahroh,5,3 bulan lalu,pelayanan darii kak angga dan tim baguss,,Tidak,Machia Seturan,40,layan dari angga baguss,positif,0,0,0
232,,Sindi Naisa,5,3 bulan lalu,pelayanan dari kaa angga dan tim baguuuss,,Tidak,Machia Seturan,41,layan angga baguss,positif,0,0,0
233,,Bageloindah,5,3 bulan lalu,"Pelayanannya bagus,mbak-mbak dan mas mas di sini ramah ramah,untuk tempatnya baguss,suasananya juga nyaman juga,minumannya enak enak semuaa pokoknyaaa.mantulllll👍🫶",,Tidak,Machia Seturan,163,layan bagus mbak sini ramah tempat baguss suasana nyaman minum enak semuaa pokok mantap,positif,5,0,5
234,,maria regina,5,3 bulan lalu,"tempatnya nyaman banget, untuk minuman enakkkkk, pelayanannya juga bagus bgttt ramahhhh polll",,Tidak,Machia Seturan,93,tempat nyaman banget minum enak layan bagus banget ramah,positif,4,0,4
235,,Katharina Anunsiata Junianse,5,3 bulan lalu,"Tempatnya nyaman adem, minumannya enakkk. Recommended!",,Tidak,Machia Seturan,54,tempat nyaman adem minum enak recommended,positif,4,0,4
236,,Me,5,3 bulan lalu,Oke banget,,Tidak,Machia Seturan,10,banget,positif,0,0,0
237,,Puspa Agealin,5,3 bulan lalu,"pelayanan nya bagusss, suasananya nyaman",,Tidak,Machia Seturan,40,layan bagus suasana nyaman,positif,2,0,2
240,,Rania Putri,5,3 bulan lalu,"Tempatnya bagus, minumannya enak, & stafnya baik Mas Angga👍🏻",,Tidak,Machia Seturan,60,tempat bagus minum enak staf baik angga,positif,3,0,3
241,,Retno Astrini Wadyomukti,5,3 bulan lalu,"Pilihan matcha banyak, ada cake nya juga",,Tidak,Machia Seturan,40,pilih matcha banyak cake,positif,0,0,0
242,,Neyna agustina,5,3 bulan lalu,"Frist time ke sini bener"" Enak",,Tidak,Machia Seturan,30,frist time sini bener enak,positif,1,0,1
243,,Dian ikasari,5,3 bulan lalu,First time rasain matcha hampir sama kaya di osaka 🤍,,Tidak,Machia Seturan,52,first time rasain matcha hampir sama kaya osaka,positif,0,0,0
244,,angga dwi prasetyo,5,3 bulan lalu,Matcha nya good tempatnya nyaman,,Tidak,Machia Seturan,32,matcha good tempat nyaman,positif,2,0,2
245,,EkaPutra 0908,5,3 bulan lalu,"tempatnya enak nyaman, matchanya juga enak dan segar, begel nya rekomendasi juga buat nyemil, rekomended buat nongkrong atau date",,Tidak,Machia Seturan,129,tempat enak nyaman matchanya enak segar begel rekomendasi buat nyemil rekomended buat nongkrong date,positif,5,0,5
247,,Adi Kurnia Tresna Putra 629,5,3 bulan lalu,"matchanya enak, tempatnya pw sampe pagi",,Tidak,Machia Seturan,39,matchanya enak tempat sampe pagi,positif,1,0,1
248,,L.,5,3 bulan lalu,"matchanya bestt!!! tempatnya instagramable trus cozyy, bakal kesini lagii☝🏻 …",,Tidak,Machia Seturan,77,matchanya bestt tempat instagramable trus cozyy bakal kesini lagi,positif,1,0,1
249,,Evelyn Nuraisya,5,3 bulan lalu,"enakk bangettt matchanyaaa, pelayanannya jugaa ramah dan baik hatii🤩🤩🤩",,Tidak,Machia Seturan,70,enak banget matchanya layan jugaa ramah baik hati,positif,3,0,3
250,,elizabet ratna,5,3 bulan lalu,"dari segi pelayanan baik, ramah2 & sabar. Tempatnya nyaman banget, aesthetic, betahh bgt disini. Minumannya enak & sangat recommended.",,Tidak,Machia Seturan,134,segi layan baik ramah sabar tempat nyaman banget aesthetic betahh banget sini minum enak sangat recommended,positif,6,0,6
251,,Debora Junita,5,3 bulan lalu,"Suka banget untuk tempatnya, musiknya juga asik, dan ada photobox juga ternyata guys, dan untuk menu juga masih boleh lah untuk yang kurang suka macha ada varian lain juga, pelayanannya juga ramah banget cocok  banget sih buat yang mau nongki",,Tidak,Machia Seturan,242,suka banget tempat musik asik photobox nyata menu kurang suka macha varian lain layan ramah banget cocok banget buat nongki,positif,5,1,4
252,,Aurelia Linto,5,3 bulan lalu,"Snack dan minum oke, tempat juga oke, ada photoboxnya bisa foto manja di lantai 2 🙌🏻",,Tidak,Machia Seturan,84,snack minum tempat photoboxnya foto manja lantai,positif,0,0,0
253,,mas aril,5,3 bulan lalu,"Tempatnya tidak terlalu besar tapi bagus dan cocok untuk nongkrong, menunya cuma matcha, matchanya enak dan banyak variannya",,Tidak,Machia Seturan,124,tempat terlalu besar bagus cocok nongkrong menu cuma matcha matchanya enak banyak varian,positif,4,0,4
260,,satya rifai,3,4 bulan lalu,"kalo rasa matchanya cukup aja, ga selaras sama harganya sih, tempatnya emang bagus dan menarik",,Tidak,Machia Seturan,94,rasa matchanya cukup selaras sama harga tempat emang bagus tarik,netral,1,0,1
261,,Refi Mariska,5,4 bulan lalu,"enak sih matcha nya tapi ya emang bukan yang enak banget, tempatnya instagramable bgt bgt",,Tidak,Machia Seturan,89,enak matcha emang bukan enak banget tempat instagramable banget,positif,3,0,3
264,,Dinda Ayu Naurah F,5,4 bulan lalu,mantapp,,Tidak,Machia Seturan,7,mantap,positif,1,0,1
267,,Resti Aprilianti Suryadi,5,4 bulan lalu,"kak fadli sama kak faris ramahh sihh bintangg 5, good service bangett",,Tidak,Machia Seturan,69,fadli sama faris ramahh sihh bintangg good service banget,positif,1,0,1
268,,Gladis Gladis,5,4 bulan lalu,"pelayanan ramah, minuman enak",,Tidak,Machia Seturan,29,layan ramah minum enak,positif,2,0,2
271,,Danish Batrisyia,5,4 bulan lalu,pelayanannya bagus ❤️,,Tidak,Machia Seturan,21,layan bagus,positif,1,0,1
275,,Dianing Widya Kusumastuti,5,4 bulan lalu,Matchanya enak bgt dan tempatnya lucuuuu 🥰 …,,Tidak,Machia Seturan,44,matchanya enak banget tempat lucu,positif,1,0,1
276,,Dika Pus,5,4 bulan lalu,enaaaaak!!,,Tidak,Machia Seturan,10,enak,positif,1,0,1
277,,Mutiara Aisha,4,4 bulan lalu,Senang untuk dicoba,,Tidak,Machia Seturan,19,senang coba,positif,1,0,1
281,,Arasy,5,4 bulan lalu,"tempatnya nyaman, sangat amat recomended 💘",,Tidak,Machia Seturan,42,tempat nyaman sangat amat recomended,positif,1,0,1
282,,nisa aulia,5,4 bulan lalu,biar bintang yg berbicara,,Tidak,Machia Seturan,25,bintang bicara,positif,0,0,0
283,,shelomita hapsari,5,4 bulan lalu,matchanya enak bngtttt,,Tidak,Machia Seturan,22,matchanya enak bngt,positif,1,0,1
284,,Ahmad Hanafi,5,4 bulan lalu,"Asa lucu bgt, pelayanan cepatt ramahh pokoknyaa mantabb kaa🔥",,Tidak,Machia Seturan,60,lucu banget layan cepatt ramahh pokoknyaa mantabb,positif,0,0,0
285,,Mulian sayputra,5,4 bulan lalu,"Karyawannya ramah bgt, Enjoyy🤩🤩",,Tidak,Machia Seturan,31,karyawannya ramah banget enjoyy,positif,1,0,1
286,,Muhammad Syahri,5,4 bulan lalu,"palm sugarnya enak banget, kasirnya juga ramah baik asik, naikin gaji kak asa🤩🤩",,Tidak,Machia Seturan,79,palm sugar enak banget kasir ramah baik asik naikin gaji,positif,3,0,3
288,,ADAM 123,5,4 bulan lalu,"pelayanannya bagus,minumannya enak,dan cake nya enak banget",,Tidak,Machia Seturan,59,layan bagus minum enak cake enak banget,positif,3,0,3
289,,Ekacengg,5,4 bulan lalu,"nyaman banget tempatnyaa, 👌👌",,Tidak,Machia Seturan,28,nyaman banget tempatnyaa,positif,1,0,1
290,,Jihan Dea,5,4 bulan lalu,"tempat nya seru makanan nya enak enakkk, love tempat ini",,Tidak,Machia Seturan,56,tempat seru makan enak love tempat,positif,2,0,2
292,,Nanda Septia,5,4 bulan lalu,"Pertama kali ke machia!!
Makanan, pelayanan top bangettt🥰🥰
Rekomennn bangett✨",,Tidak,Machia Seturan,79,pertama kali machia makan layan bagus banget recommended banget,positif,2,0,2
293,,Ris'qa Novita,5,4 bulan lalu,Matcha Latte (Premium) recomend lho 👍👍 enak,,Tidak,Machia Seturan,43,matcha latte premium recomend enak,positif,1,0,1
294,,Adelia Putri Pangestu,5,4 bulan lalu,Matcha latte Ginza enak bgt👍🏻 …,,Tidak,Machia Seturan,31,matcha latte ginza enak banget,positif,1,0,1
299,,yogi rahmana putra,5,4 bulan lalu,"enak bgt matcha ceremonial nya, recomend!",,Tidak,Machia Seturan,41,enak banget matcha ceremonial recomend,positif,1,0,1
300,,Raffina Aw,5,4 bulan lalu,enakkk bangettt matchanyaaaa🫶🏻🫶🏻,,Tidak,Machia Seturan,32,enak banget matchanya,positif,1,0,1
301,,Raysa R. Anggiani,5,4 bulan lalu,"Menu matchanya bervariasi. Matcha pistachio latte-nya enak dan nggak kemanisan. Pastrynya juga enak. Suasananya nyaman, instagrammable, ada photoboxnya juga. Pelayanannya baik dan ramah, bisa bayar pakai QRIS juga.",,Tidak,Machia Seturan,214,menu matchanya variasi matcha pistachio latte enak manis pastrynya enak suasana nyaman instagrammable photoboxnya layan baik ramah bayar pakai qris,positif,6,0,6
302,,Yuli Sutiasih,5,4 bulan lalu,"tempatnya asik sih, makanan cocok, servicenya enak",,Tidak,Machia Seturan,50,tempat asik makan cocok servicenya enak,positif,2,0,2
303,,Fusca Doma,5,Diedit 4 bulan lalu,"Tempat ini benar-benar salah satu tempat favorit saya untuk membeli macha, rasanya enak sekali, dan tempatnya nyaman, santai, dan asyik untuk nongkrong bareng teman atau pacar. Setiap kombinasi macha sangat seimbang dan penuh cinta. Saya sudah mencoba hampir semuanya, tapi masih belum bisa memilih mana yang jadi favorit. Untuk hidangan penutupnya, menurut saya tidak terlalu manis, sempurna. Sangat direkomendasikan.",,Tidak,Machia Seturan,418,tempat benar salah satu tempat favorit beli macha rasa enak sekali tempat nyaman santai asyik nongkrong bareng teman pacar tiap kombinasi macha sangat imbang penuh cinta coba hampir semua belum pilih mana jadi favorit hidang tutup terlalu manis sempurna sangat rekomendasi,positif,8,0,8
304,,Darlene Valentina,5,Diedit 4 bulan lalu,"Beberapa bulan yang lalu, saya pergi ke Machia. Matcha-nya enak banget dan harganya juga terjangkau 🍵! Saya coba Kyoto Matcha — rasanya lebih premium, agak pahit dan tidak terlalu manis, dan harganya cuma 38k, worth it banget 💚. Area indoor-nya agak kecil dan tempat duduknya terbatas, tapi di dalamnya sejuk dan bahkan ada beberapa permainan yang bisa dimainkan. Area outdoor-nya juga terlihat nyaman untuk nongkrong. Keseluruhan: 9/10. Kalian wajib coba Kyoto Matcha!!",,Tidak,Machia Seturan,470,beberapa bulan lalu pergi machia matcha enak banget harga jangkau coba kyoto matcha rasa lebih premium agak pahit terlalu manis harga cuma worth banget area indoor agak kecil tempat duduk batas dalam sejuk bahkan beberapa main area outdoor lihat nyaman nongkrong seluruh wajib coba kyoto matcha,positif,5,1,4
306,,Bhintarasti Padmarani Pawestri,5,4 bulan lalu,Enakkk matcha nyaa tempatnya estetik bgtt🍵🍵 …,,Tidak,Machia Seturan,45,enak matcha nyaa tempat estetik banget,positif,1,0,1
307,,Desti Rahmadian,5,4 bulan lalu,cafe skena jogja😍 …,,Tidak,Machia Seturan,19,cafe skena jogja,positif,0,0,0
310,,Sparkling Bear,5,4 bulan lalu,"Terbaik, bagus, asa best gro, welll",,Tidak,Machia Seturan,35,baik bagus best,positif,3,0,3
312,,Turaya Turaya,5,4 bulan lalu,"Tempatnya bagus, banyak spot foto, rekomend sih buat nongking, minuman sama cakeknya nggak kalah enakk.",,Tidak,Machia Seturan,103,tempat bagus banyak spot foto recommended buat nongking minum sama cakeknya kalah enak,positif,3,0,3
315,,eleonora iona prasetyo,5,4 bulan lalu,"Saya pergi ke Machia saat liburan. Lokasinya di Jalan Selokan Mataram. Alasan saya ke sana karena saya tertarik dengan menu mereka, terutama matcha-nya. Saya merekomendasikan tempat ini untuk nongkrong bersama teman-teman.",,Tidak,Machia Seturan,222,pergi machia saat libur lokasi jalan selokan mataram alas sana tarik menu utama matcha rekomendasi tempat nongkrong sama teman,positif,1,0,1
317,,Ximon Pelly,5,4 bulan lalu,mantap,,Tidak,Machia Seturan,6,mantap,positif,1,0,1
318,,Tri Nur Faddilah Aisyah Riski Amalia Umar_151,5,4 bulan lalu,kopii nya enak 💗💗💗,,Tidak,Machia Seturan,18,kopi enak,positif,1,0,1
319,,Erlangga Widanta,5,4 bulan lalu,tempatnya enak dan nyaman,,Tidak,Machia Seturan,25,tempat enak nyaman,positif,2,0,2
322,,Ika Dewi Anggraeni,4,4 bulan lalu,"Perdana gue visit ke sini nemenin ponakan yg emang demen bgt ama segala macem olahan Matcha. Gue pesen Matcha Latte kalo ga salah dan rasanya ya matcha plus latte. Cuma mnrt gue, sebagai pecinta latte, citarasa latte di Matcha Latte di sini masih kurengg. Mungkin karena emang konsepnya di sini mau nonjolin citarasa Matcha-nya kali ya.
But overall, it's nice!",,Tidak,Machia Seturan,361,perdana visit sini nemenin ponakan emang demen banget segala macem olah matcha sen matcha latte salah rasa matcha plus latte cuma mnrt cinta latte citarasa latte matcha latte sini kurengg mungkin emang konsep sini nonjolin citarasa matcha kali overall nice,positif,1,0,1
324,,Rena Octavia,5,4 bulan lalu,ramah dan nyaman,,Tidak,Machia Seturan,16,ramah nyaman,positif,2,0,2
326,,Muhamad Ridwan,5,4 bulan lalu,rekomendasi kalo mau nongkrong di seturan,,Tidak,Machia Seturan,41,rekomendasi nongkrong tur,positif,1,0,1
330,,Samuel D' Prasetyo,5,Diedit 5 bulan lalu,Enaaaaaak... Wajibdi coba,,Tidak,Machia Seturan,25,enak wajibdi coba,positif,1,0,1
331,,Nabila Amalia,5,5 bulan lalu,salah satu macha terbaik di kota! 🍵,,Tidak,Machia Seturan,35,salah satu macha baik kota,positif,1,0,1
332,,Sabrina Az Zahra,5,5 bulan lalu,"Pelayanan kakak kim sangat baik, humble, tempatnya bersih dan estetik😍",,Tidak,Machia Seturan,70,layan kakak sangat baik humble tempat bersih estetik,positif,2,0,2
333,,Yasmin Shalsabil,5,5 bulan lalu,"Pelayanan baik & menyenangkan, kaca bersih, spot foto dimana2, makanan & minuman enak, seruuu",,Tidak,Machia Seturan,93,layan baik senang kaca bersih spot foto mana makan minum enak seru,positif,4,0,4
335,,Bielsa Toyra,5,5 bulan lalu,tempat nya lucu,,Tidak,Machia Seturan,15,tempat lucu,positif,0,0,0
336,,Nur Richah,5,5 bulan lalu,Matcha latte direkomendasikan,,Tidak,Machia Seturan,29,matcha latte rekomendasi,positif,1,0,1
337,,sahirah aisyah,5,5 bulan lalu,"INDAH BANGET & ada photobox juga, minuman & kue-kuenya juga enak!! Buka 24 jam juga",,Tidak,Machia Seturan,83,indah banget photobox minum kue enak buka,positif,2,0,2
338,,Dianissa Salsabila Dianty,5,5 bulan lalu,"tempatnya lucu, baristanya juga baik. ada photobox juga di lantai dua.",,Tidak,Machia Seturan,70,tempat lucu baristanya baik photobox lantai,positif,1,0,1
340,,Clarizsa Ayu Maharani,5,5 bulan lalu,matchanya grade seremonial direkomendasikan 🍵🍃,,Tidak,Machia Seturan,46,matchanya grade seremonial rekomendasi,positif,1,0,1
343,,Talitha Dhiya Luthfi,5,5 bulan lalu,stabil,,Tidak,Machia Seturan,6,stabil,positif,0,0,0
344,,Maria Vionitha,5,5 bulan lalu,Suasananya bagus dan pistachio-nya enak sekali 🤌,,Tidak,Machia Seturan,48,suasana bagus pistachio enak sekali,positif,2,0,2
345,,Anesya Putri,5,5 bulan lalu,tempatnya kalcer abisss,,Tidak,Machia Seturan,23,tempat kalcer abis,positif,0,0,0
346,,Marchellia Saranandatio,5,5 bulan lalu,Tempatnya lucuu✨,,Tidak,Machia Seturan,16,tempat lucuu,positif,0,0,0
347,,Vania Azura,5,5 bulan lalu,"bagus bgttt, rekomen pwolll",,Tidak,Machia Seturan,27,bagus banget recommended pwol,positif,2,0,2
348,,Ricky,5,5 bulan lalu,Tempat yang bagus untuk berkumpul bersama teman-teman,,Tidak,Machia Seturan,53,tempat bagus kumpul sama teman,positif,1,0,1
350,,aditya luthfi,5,5 bulan lalu,chesse cake nya enak,,Tidak,Machia Seturan,20,chesse cake enak,positif,1,0,1
351,,Gita Ramadanti,5,5 bulan lalu,Rasanya enak🤩,,Tidak,Machia Seturan,13,rasa enak,positif,1,0,1
359,,anggi kurnia,5,5 bulan lalu,baguss,,Tidak,Machia Seturan,6,baguss,positif,0,0,0
361,,nelita viona2004,5,5 bulan lalu,TEMPATNYA WORT IT BANGETTT BARENG BESTIE,,Tidak,Machia Seturan,40,tempat wort banget bareng bestie,positif,0,0,0
362,,Esti Anora,5,5 bulan lalu,"Dj nya asik, tempatnya juga keceee",,Tidak,Machia Seturan,34,asik tempat bagus,positif,1,0,1
363,,Herwindo Danendra,5,5 bulan lalu,matcha terbaik,,Tidak,Machia Seturan,14,matcha baik,positif,1,0,1
364,,Sam Smith,5,5 bulan lalu,"Pelayanan ramah, tempat mendukung untuk WFH/nugas karna 24/7. Matcha ny best utk pecinta matcha, 100% rekomen",,Tidak,Machia Seturan,109,layan ramah tempat dukung nugas karna matcha best cinta matcha recommended,positif,4,0,4
366,,diska cahya,5,5 bulan lalu,Tempatnyaa enak buat ngobrol,,Tidak,Machia Seturan,28,tempatnyaa enak buat ngobrol,positif,1,0,1
369,,Elisabet Nandini,5,5 bulan lalu,Dark choco Lattenya gabolee abizzz plizz enak,,Tidak,Machia Seturan,45,dark choco lattenya gabolee abiz plizz enak,positif,1,0,1
371,,117_Sharon Evanggelina,5,5 bulan lalu,"tempat cozy dan asik buat nongkrong, recommended 🥰🥰",,Tidak,Machia Seturan,51,tempat cozy asik buat nongkrong recommended,positif,2,0,2
372,,Mrs.Leonna,5,5 bulan lalu,Aku menyukainya🫶🏼,,Tidak,Machia Seturan,17,suka,positif,1,0,1
373,,Aisha Rizqita Putri,5,5 bulan lalu,"tempatnya lucu, minumannya enak",,Tidak,Machia Seturan,31,tempat lucu minum enak,positif,1,0,1
374,,Ervita Yurista,5,5 bulan lalu,"Tempatnya comfy, makanannya enakkk + lagunya vibess bgtt 💞💞",,Tidak,Machia Seturan,59,tempat comfy makan enak lagu vibess banget,positif,1,0,1
376,,ananda,5,5 bulan lalu,"strawberry matcha 🫶🏻🫶🏻🫶🏻, tempatnya nyaman dan bersih, pelayanannya juga baik🩷",,Tidak,Machia Seturan,78,strawberry matcha tempat nyaman bersih layan baik,positif,3,0,3
377,,E-248-EKA RINDIANI,5,5 bulan lalu,rekomen bgt menu pistachio coffe latte nya.,,Tidak,Machia Seturan,43,recommended banget menu pistachio kopi latte,positif,1,0,1
378,,Fiona Gita,5,5 bulan lalu,TEMPAT YANG SANGAT BAGUS!,,Tidak,Machia Seturan,25,tempat sangat bagus,positif,1,0,1
382,,nazwa alhadar,4,5 bulan lalu,"Untuk tempatnya udh nyaman bgt dan bersih, untuk makanannya menurutku jga oke",,Tidak,Machia Seturan,77,tempat nyaman banget bersih makan turut,positif,2,0,2
383,,Novalia Maharani Ayudita,5,5 bulan lalu,Good vibe for nongki ✨,,Tidak,Machia Seturan,22,good vibe nongki,positif,1,0,1
384,,agi,5,5 bulan lalu,"Cozyyyyyyyy placeee, matchanya juga enaaak. As a matcha lover bakalan balik lagi ke sini siii <33",,Tidak,Machia Seturan,97,cozy place matchanya enak matcha lover bakal balik lagi sini,positif,2,0,2
385,,khansa devi,5,5 bulan lalu,"matcha nya enaaakk and the spot also great buat foto foto, buat nugas juga nyaman👍🏻👍🏻",,Tidak,Machia Seturan,85,matcha enak spot also great buat foto buat nugas nyaman,positif,3,0,3
386,,Novika,5,5 bulan lalu,"enak , nyaman , tempatnya bagus astetic , rekomen buat anak gen z",,Tidak,Machia Seturan,65,enak nyaman tempat bagus astetic recommended buat anak,positif,4,0,4
387,,putri jesika,5,5 bulan lalu,"kyoto matcha latte
butterscocth
niat mau coba matcha aja, ternyata butterscotch nya lebihh enakk lagi and good ambience",,Tidak,Machia Seturan,121,kyoto matcha latte butterscocth niat coba matcha nyata butterscotch lebihh enak lagi good ambience,positif,2,0,2
388,,MAWAR VELISA,5,5 bulan lalu,"pelayanannya okee bgtt, tmptnyaaa enakkk nyamann",,Tidak,Machia Seturan,48,layan okee banget tmptnya enak nyamann,positif,1,0,1
389,,Frisca Muthia,5,5 bulan lalu,seruu bngt tempatnya buat hangout🥰,,Tidak,Machia Seturan,34,seruu bngt tempat buat hangout,positif,0,0,0
390,,Theodora Tri Lusi Yulinda,5,5 bulan lalu,"Tempatnya nyaman banget untuk nongkrong, pelayanannya juga cepat",,Tidak,Machia Seturan,64,tempat nyaman banget nongkrong layan cepat,positif,2,0,2
