original_comment,cleaned_comment
reja arap tuh,reja arap tuh
ngaco bjorka timothy ronald,ngaco bjorka timothy ronald
insyaallah,insyaallah
bjorka guru gembul,bjorka guru gembul
lawak emg si polisi,lawak emg polisi
wkwwkwk bener bgt thumbnail nya sok iye nangkap bjorka,wkwwkwk bener bgt thumbnail sok iye nangkap bjorka
gw sdh tau komedi,sdh tau komedi
iya filling,filling
bwawagahaha kasih paham bang knpa,bwawagahaha kasih paham knpa
drpd kau tidk lapor kau sudh ikhlas dng hilang motor hehe,drpd kau tidk lapor kau sudh ikhlas dng hilang motor
ntar pas smpe kantor polisi jg suruh ikhlasin kyk yg udah udah,ntar pas smpe kantor polisi suruh ikhlasin kyk udah udah
mampus syukurin,mampus syukurin
lokasi hilang sepeda motor tanggap adu ongkos jalan lupa biaya operasional,lokasi hilang sepeda motor tanggap adu ongkos jalan lupa biaya operasional
mantan narapidana sila masuk,mantan narapidana sila masuk
kadang yg gak lapor polisi paranormal,kadang gak lapor polisi paranormal
lapor bayar polsek,lapor bayar polsek
tetangga gua kemarin hilang motor trus nanya gua yg hilang motor bang lapor polisi bayar ga trus dalem hati gua jirr orang yg hilang harta benda nya akan takut lapor yaa tau kalo lapor bilang gitu lihat instansi udah ga percaya,tetangga gua kemarin hilang motor trus nanya gua hilang motor lapor polisi bayar trus dalem hati gua jirr orang hilang harta benda takut lapor yaa tau kalo lapor bilang gitu lihat instansi udah percaya
2023 motor hilang ga lapor,motor hilang lapor
saran ka normal aja suruh bacain puter giling,saran normal suruh bacain puter giling
orang celaka aja lapor polisi suruh bayar gimana coba surat terang polisi 12 lembar bayar 5 juta parah bener nih polisi,orang celaka lapor polisi suruh bayar gimana coba surat terang polisi lembar bayar juta parah bener nih polisi
lahh yg maling motor nya ketangkep warga bawa kantor polisi udah sampe sana polisi nya gk terima,lahh maling motor ketangkep warga bawa kantor polisi udah sampe sana polisi terima
hilang motor lapor polisi ongkos nyarinya jual mobil,hilang motor lapor polisi ongkos nyarinya jual mobil
kayas86 kalo lapor polisi udh hilang motor tmbah hilang duit motor gabalik,kayas kalo lapor polisi udh hilang motor tmbah hilang duit motor gabalik
muhammadfarhanex1mp bap doang abis arsip,muhammadfarhanexmp bap doang abis arsip
tetangga hilang kambing lapor polisi india hilang sapi,tetangga hilang kambing lapor polisi india hilang sapi
hadeh polisi masalah polisi bantu curanmor coba lapor tau ketemu motor lu bang,hadeh polisi masalah polisi bantu curanmor coba lapor tau ketemu motor
lu habis bnyak lebih harga motor bang,habis bnyak lebih harga motor
krn polisi sibuk ngurus bjorka,krn polisi sibuk ngurus bjorka
bjorka asli abang podcast,bjorka asli abang podcast
miraclerna93 pikir,miraclerna pikir
wkwk ngakak banget video kalo hoki mah sih,ngakak banget video kalo hoki mah
next part collab kasih 007,next part collab kasih
mas teguh top,mas teguh top
ngira bjorka individu kalo gua sih kalo bjorka gak individu kelompok ato semacem komunitas gitu sih,ngira bjorka individu kalo gua kalo bjorka gak individu kelompok semacem komunitas gitu
wkwkwk ketawa aja,ketawa
fakta anak indonesia cerdas indonesia susah cari kerja,fakta anak indonesia cerdas indonesia susah cari kerja
gin om ded mesti ajak ngobrol jim geovedi deh,gin ded mesti ajak ngobrol jim geovedi
teman gw aja mantan hacking ketawa liat bjorka ketangkep gak mudah ferguso,teman mantan hacking ketawa liat bjorka ketangkep gak mudah ferguso
orang milih sadar kalo jadi ajar jadi yg timpa orang,orang milih sadar kalo jadi ajar jadi timpa orang
ga ngomongin server om ded kerja kontrak salah bank bumn kasih akses data nasabah bank tsb mudah download bentuk batch 2020 mudah teman bis ange cek rekening rafi ahmad jaga data digital sampah banget,ngomongin server ded kerja kontrak salah bank bumn kasih akses data nasabah bank tsb mudah download bentuk batch mudah teman bis ange cek rekening rafi ahmad jaga data digital sampah banget
tangkep tuh koruptor termul si harun mas si yakut rakyat indonesia salut 2 jempol,tangkep tuh koruptor termul harun mas yakut rakyat indonesia salut jempol
bjorka polisi tangkap,bjorka polisi tangkap
nya polisi indonesia reformasi akar akar nya,polisi indonesia reformasi akar akar
bjorka nonton nih podcast,bjorka nonton nih podcast
udah tau salah tangkep biarin aja gitu polisi negara kocaakkkkk,udah tau salah tangkep biarin gitu polisi negara kocaakkkkk
5712 gua keinget smart contract yg,gua keinget smart contract
mamtab orang2 kyk gin yg masuk dunia perintah,mamtab orang kyk gin masuk dunia perintah
bjorka bjirlah,bjorka bjirlah
alih isu lindas ojol,alih isu lindas ojol
bilang statement kualitas tim cyber polisi dlupun komunitas sbh yg tangkap 700 bawah lapor fbi polisi indonesia lokasi kini surabaya,bilang statement kualitas tim cyber polisi dlupun komunitas sbh tangkap bawah lapor fbi polisi indonesia lokasi kini surabaya
lo ngpain booss,ngpain booss
blur gak sorot org2 udah tau si teguh,blur gak sorot org udah tau teguh
merintislagi wkwkwk lihat aja,merintislagi lihat
sefong,sefong
individu bang ku,individu
anon75 klo turut kelompok sisi gw nuduh individu,anon klo turut kelompok sisi nuduh individu
klw kelompok sudh dri tangkap,klw kelompok sudh dri tangkap
fakta cerdas gak dr 10,fakta cerdas gak
cerdas sdh kerja,cerdas sdh kerja
om jim ngomongin ginian udah gak kelas bahas server maenannya udah satelite security,jim ngomongin ginian udah gak kelas bahas server maenannya udah satelite security
halah ngaku2 kenal hacker,halah ngaku kenal hacker
tau gua kalo hacker ga ngaku hacker dah gua mantan direktur cia wawancara bilang kalo hacker sembunyi identitas mati kalo udh kerjasama intelijen mi6 mossad cia,tau gua kalo hacker ngaku hacker dah gua mantan direktur cia wawancara bilang kalo hacker sembunyi identitas mati kalo udh kerjasama intelijen mossad cia
bener data kerja badan intelejen nasional dr no alamat kelurga dllnya,bener data kerja badan intelejen nasional alamat kelurga dllnya
cek nomer rekening saldo cek mutasi,cek nomer rekening saldo cek mutasi
gw sore ditelfon cwek tipu tau gw anjirr atm gw,sore ditelfon cwek tipu tau anjirr
santuy aj bro,santuy
lg ngebakso,ngebakso
ajar tembak polisi trus fitnah tawur,ajar tembak polisi trus fitnah tawur
yg lindes orang aja 20 wkwk mas percaya,lindes orang mas percaya
kalo polisi salah tangkap lapor gimana,kalo polisi salah tangkap lapor gimana
ank ank cerdas direspon positif perintah lapang kerja,ank ank cerdas direspon positif perintah lapang kerja
maaf polisi salah tangkap maaf guys,maaf polisi salah tangkap maaf
salah nangkep bjorka nangkep bjirka,salah nangkep bjorka nangkep bjirka
podcast dejavu obrol,podcast dejavu obrol
om ded undang mega bintang tri uang donggg om,ded undang mega bintang tri uang donggg
polri rekrut calon polri yg ketat jujur duit duit duit,polri rekrut calon polri ketat jujur duit duit duit
kali undang jim geovedi sudut pandang aman cyber indonesia om ded,kali undang jim geovedi sudut pandang aman cyber indonesia ded
undang purbaya om,undang purbaya
anak yg racun makan aja anggap sepele anggap 0 persen aja nyawa loh data anggap sepele perintah,anak racun makan anggap sepele anggap persen nyawa loh data anggap sepele perintah
bjorka 1 main utama nya annonimous percaya gak percaya cyber sebenernya jaga indonesia dunia cyber klo gak dah jebol parah data2 org2 indonesia perintah sipil,bjorka main utama annonimous percaya gak percaya cyber sebenernya jaga indonesia dunia cyber klo gak dah jebol parah data org indonesia perintah sipil
pol poll,pol poll
narasumber valid sih om bjirka personturqouisewaving,narasumber valid bjirka
om ded undang saron om,ded undang saron
bjorka kena prank terus hibur masyarakat,bjorka kena prank terus hibur masyarakat
ditangkep tukang es krim,ditangkep tukang krim
gak nangkap bjorka simpel aja nangkap fufufafa kaskus aja gak nangkap hacker,gak nangkap bjorka simpel nangkap fufufafa kaskus gak nangkap hacker
gw kasih kisi2 bjorka independen bjorka kelompok negara tangkap bjorka 38004 pecah kode instansi polisi,kasih kisi bjorka independen bjorka kelompok negara tangkap bjorka pecah kode instansi polisi
anak pintar pelihara negara yg pelihara koruptor,anak pintar pelihara negara pelihara koruptor
konten scatter tetep juara,konten scatter tetep juara
ytta,ytta
atur hk perintah ngasih kompensasi uang kak indonesia,perintah ngasih kompensasi uang indonesia
lapor sidang klo bukti salah tangkap polisi pulihin nama media harus ganti rugi materil sesuai tuntut korban korban ga beraniga ngerti sewa lowyer makan sidang,lapor sidang klo bukti salah tangkap polisi pulihin nama media ganti rugi materil sesuai tuntut korban korban beraniga ngerti sewa lowyer makan sidang
ruwed bongkar bobrok nya tau sumber dana pinjol,ruwed bongkar bobrok tau sumber dana pinjol
kriminal cm byorka asli,kriminal byorka asli
gak bisak kak krn koloni bela tutup,gak bisak krn koloni bela tutup
durray13 surat maryam 17 alloh tiup rahim maryam hamil lahir isa bapak isa yg maryam hamil putar putar kabah nya,durray surat maryam alloh tiup rahim maryam hamil lahir isa bapak isa maryam hamil putar putar kabah
tp kalo yg bahas sy emg sengaja nangkap orang yg tp bjorka biar keren jd ttep yg tangkap mgkin sangka tp bjorka biar keren aja,kalo bahas emg sengaja nangkap orang bjorka biar keren ttep tangkap mgkin sangka bjorka biar keren
prittt,prittt
konoha negara yg,konoha negara
berita pertamina tutup nih,berita pertamina tutup nih
durray13 kau tuhan 1 tuhan doa tuhan tuhan tuhan lahir sang cipta sangpencipta cipta cipta lahir tuhan karna meng adakan cipta cipta tuhan bantu manusia bantu manusia kabul doa manusia doa tuhan bantu manusia,durray kau tuhan tuhan doa tuhan tuhan tuhan lahir sang cipta sangpencipta cipta cipta lahir tuhan karna meng adakan cipta cipta tuhan bantu manusia bantu manusia kabul doa manusia doa tuhan bantu manusia
lapor rtrw biar hapus warrga,lapor rtrw biar hapus warrga
durray13 muhammad sunat yg sunat muhammad umur 60 silah dicopy paste bagi,durray muhammad sunat sunat muhammad umur silah dicopy paste
nurut kek ama ysus yohanes 17 3 yesus definisi hidup kekal hidup kekal kenal engkau satusatunya bapa kenal yesus kristus engkau utus tuhan cod tuhan batas tuhan,nurut kek ama ysus yohanes yesus definisi hidup kekal hidup kekal kenal engkau satusatunya bapa kenal yesus kristus engkau utus tuhan cod tuhan batas tuhan
yg tangkep akun fake bjorka,tangkep akun fake bjorka
ga nyimak ga terima kerja perintah,nyimak terima kerja perintah
yaa emang prnh undang nya,yaa emang prnh undang
karna parah bahas bjorka,karna parah bahas bjorka
guigore3358 karna undang isi obrol kyk ulang,guigore karna undang isi obrol kyk ulang
ferapujia9762 iya ulang tegas tpi gak goreng bjirka kw kasihan cuy,ferapujia ulang tegas tpi gak goreng bjirka kasihan cuy
up laah,laah
salahin presiden yh salahin bisik nya sayang presiden gk main sosmed langsung dedi mulyadi tau sebenernya bisik afiliasi periode,salahin presiden salahin bisik sayang presiden main sosmed langsung dedi mulyadi tau sebenernya bisik afiliasi periode
covid aja bisnis,covid bisnis
harap,harap
bjirka yaa,bjirka yaa
kenalin byurka,kenalin byurka
asli ngakak,asli ngakak
bijipelerka,bijipelerka
bjirlah,bjirlah
bjorlah,bjorlah
kejeburkya,kejeburkya
kagak tuh orang,kagak tuh orang
mang eak,mang eak
fakta nya,fakta
alih isu pertamin,alih isu pertamin
bandung jual bakso cuanky tegal jual telor asin jateng tukang sate kambing,bandung jual bakso cuanky tegal jual telor asin jateng tukang sate kambing
betullll bgtttt,betullll bgtttt
siplester aja msh blm ketangkep,siplester msh blm ketangkep
fakta wkwk,fakta
ga tangkap polisi orang duit orang jenius kaya bjorka tangkap polisi orang stnk mati kwkwk,tangkap polisi orang duit orang jenius kaya bjorka tangkap polisi orang stnk mati kwkwk
setdah bener lu bang,setdah bener
plot twist nya eh ujung2 nya bjorka kerja perintah bikin gaduh tutup bersihin puji validasi masyarakat perintah hebat,plot twist ujung bjorka kerja perintah bikin gaduh tutup bersihin puji validasi masyarakat perintah hebat
3621 deddy masuk kantor cyber tv pake video ala matrix,deddy masuk kantor cyber pake video ala matrix
smoga cepat sadar la tu org korup data,smoga cepat sadar org korup data
2 lucu nangkep bjorka,lucu nangkep bjorka
012 suara tau ni yg mas g0ndrong it,suara tau mas gndrong
gw sengaja salah tangkapin biar berita nya rame biar tutupin,sengaja salah tangkapin biar berita rame biar tutupin
thn 2000 an kalo udang denger chiter gamer langsung dapet data anak2 bus emang mantab hecker jebolin data udah ngapain cari cyber police ajar masalag programer yg ditil tampung aja anak2 negara untung kerja anak2 bangsa lapang kerja model gerus mati lapang kerja muncul karya aja generasi muda,thn kalo udang denger chiter gamer langsung dapet data anak bus emang mantab hecker jebolin data udah ngapain cari cyber police ajar masalag programer ditil tampung anak negara untung kerja anak bangsa lapang kerja model gerus mati lapang kerja muncul karya generasi muda
gw 3748 windows gw masuk 2nd computer mw shutdown notifikasi gw laptop 1 biji gw gatau yg make gw gatau gimana jd ywdh wkwkwk,windows masuk computer shutdown notifikasi laptop biji gatau make gatau gimana ywdh
gimana cerita lulus sma yg masuk institusi aja bayar ratus juta nangkap hacker,gimana cerita lulus sma masuk institusi bayar ratus juta nangkap hacker
aja kata2 kesan nya tp rakyat yg ngasih duit,kata kesan rakyat ngasih duit
mamang gondrong ga gondrong,mamang gondrong gondrong
hacker hebat indonesia anggurin perintah udah perintah biayain hacker pinter mending dana beliin tas branded istri beliin mobil pajero anak indonesia bos yg harap tikus das perintah,hacker hebat indonesia anggurin perintah udah perintah biayain hacker pinter mending dana beliin tas branded istri beliin mobil pajero anak indonesia bos harap tikus das perintah
gak tau gak prestasi santai tp pedes,gak tau gak prestasi santai pedes
hari2 bikin malu instansi 1 ken ngomong kasar aja,hari bikin malu instansi ken ngomong kasar
inti cari orang itu2 aja gamau ga urgensi dgn bjorka klien krn yg sadar cyber security,inti cari orang gamau urgensi bjorka klien krn sadar cyber security
orang indonesia tuh pinter lirik yg dapet duduk ordal bawa kepinteran jalan yg salah,orang indonesia tuh pinter lirik dapet duduk ordal bawa kepinteran jalan salah
yg mesti bawa orang tau it aja coba udah nangkep bjorka undang ngomong,mesti bawa orang tau coba udah nangkep bjorka undang ngomong
suka bgt kalo ngobrolnya sm om hacker yg 1 yg aja pernh gw ulang2,suka bgt kalo ngobrolnya hacker pernh ulang
bjorka yg asli lgi ketawa baca berita,bjorka asli lgi ketawa baca berita
no offense kayakny perintah org yg duduk ga kompeten,offense kayakny perintah org duduk kompeten
cuman visual comand doang,cuman visual comand doang
buka miscrosoft exel aja gak,buka miscrosoft exel gak
mas teguh aprianto mngkin y,mas teguh aprianto mngkin
iyaa,iyaa
muka nya kaya nya,muka kaya
iyaa teguh yg undang,iyaa teguh undang
plotwis nya bjorka nya,plotwis bjorka
rqa2265 plot wist lg yg close the dor bjorka,rqa plot wist close the dor bjorka
rqa2265 mikir kayak gitu kau,rqa mikir kayak gitu kau
pikir gua kesini deh bro,pikir gua kesini
contoh,contoh
adimahendraaa yaa ga tau bro duga duga udah kaga kaget gin an,adimahendraaa yaa tau duga duga udah kaga kaget gin
wongranggadek ad berita yg besar2 tutup brok,wongranggadek berita besar tutup brok
adimahendraaa pertamina trus tambang raja ampat,adimahendraaa pertamina trus tambang raja ampat
brianramahesa abang cerdas,brianramahesa abang cerdas
mnrt ku suruh lelucon aja biar jd guyon indonesia biar hilang focus ni orng2,mnrt suruh lelucon biar guyon indonesia biar hilang focus orng
manuk akal,manuk akal
mu udah menang kwkwkw,udah menang kwkwkw
papabrot8d ni orang bambang,papabrotd orang bambang
prestasi butuh kelas bangg abis komunitas diperiksain tuh,prestasi butuh kelas bangg abis komunitas diperiksain tuh
kerja polisi duduk ngerokok ngopi suruh nangkep hacker,kerja polisi duduk ngerokok ngopi suruh nangkep hacker
lho byorka demen sound horeg om jedah jedug in data wkwkkw,lho byorka demen sound horeg jedah jedug data wkwkkw
masukin perintah mesin automation cari celah pintu masuk aplikasi 4031 tren automation ai,masukin perintah mesin automation cari celah pintu masuk aplikasi tren automation
bjorka alih isu,bjorka alih isu
fufufafa aja gak ketangkep gitu nangkep bjorka,fufufafa gak ketangkep gitu nangkep bjorka
bjorka angkat menkominfo hebat,bjorka angkat menkominfo hebat
takut rakyat indonesia lawan pejabat2 korup institusi rahasia yg presiden yg tau basmi koruptor langsung karungin aja sprti jaman soeharto,takut rakyat indonesia lawan jabat korup institusi rahasia presiden tau basmi koruptor langsung karungin sprti jaman soeharto
5721 pake shopee,pake shopee
bjorka ketangkep bjirka,bjorka ketangkep bjirka
bjorka wahh gue ketangkep lg gumam guling tonton berita,bjorka wahh gue ketangkep gumam guling tonton berita
kerenn ngmong narasumber nyaa bikin betah dengerinn hebatt mas,kerenn ngmong narasumber nyaa bikin betah dengerinn hebatt mas
sumut orang ditangkep sabunya dikantongin oknum pinter banget rekayasa nya emang real jahat,sumut orang ditangkep sabunya dikantongin oknum pinter banget rekayasa emang real jahat
746 suara misterius haaaaaaaaaaaaaaa,suara misterius haaaaaaaaaaaaaaa
tarik cybersecurity ctf komunitas nama nusahack komunitas,tarik cybersecurity ctf komunitas nama nusahack komunitas
masyarakat suruh percaya polisi pake acara nangkep hacker nangkep bandar judol aja ga becus,masyarakat suruh percaya polisi pake acara nangkep hacker nangkep bandar judol becus
gue sepakat narsum bjorka orang organisasi hacker 2 orang curiga bjorka klaim curiga bjorka,gue sepakat narsum bjorka orang organisasi hacker orang curiga bjorka klaim curiga bjorka
udah tarik berkalikali 855gak kecewa,udah tarik berkalikali gak kecewa
wih discord servernya bang,wih discord servernya
mw join kk 3,join
poin ka,poin
gw percaya tangkap emang betul bjorka karna gin hacker ngk sebdoh terang terang nama nya organisasi bjorka aja hacker cari nama bjorka bjorka jadi nama orang orang pikir nama bjorka tangkap tangkap si bjorka nha hacker nya karna hacker nya menajdi bjorka nama hacker aja tangkap bjorka nya hacker,percaya tangkap emang betul bjorka karna gin hacker ngk sebdoh terang terang nama organisasi bjorka hacker cari nama bjorka bjorka jadi nama orang orang pikir nama bjorka tangkap tangkap bjorka nha hacker karna hacker menajdi bjorka nama hacker tangkap bjorka hacker
acellegend6630 ngomong sih,acellegend ngomong
acellegend6630 sih,acellegend
teknokaryaestima kirain gua doang yg bingung nyesel baca jir,teknokaryaestima kirain gua doang bingung nyesel baca jir
wkwkkw latih banyak otodidak,wkwkkw latih banyak otodidak
info loker min,info loker
bintangmuhamad5724 serius ama komen judol,bintangmuhamad serius ama komen judol
itumah bug hunter ajc,itumah bug hunter ajc
bg nanya bajak kamera hp orang sentuh hp si target kirim link si target,nanya bajak kamera orang sentuh target kirim link target
inyiakputiahl9v cari tau,inyiakputiahlv cari tau
inyiakputiahl9v susah klu gk tau hp nya imei hpnya,inyiakputiahlv susah klu tau imei hpnya
iya cari bug system,cari bug system
karowonglanang latih hacker gak bayar gratis coba sebut nama komunitas nya biar nanti daftar komunitas,karowonglanang latih hacker gak bayar gratis coba sebut nama komunitas biar daftar komunitas
info latih nya kak link,info latih link
otodidak mah latih anak it ga bantu perintah ga bayar kerja bakti doang,otodidak mah latih anak bantu perintah bayar kerja bakti doang
yg coding bang hacker gak latih,coding hacker gak latih
orang awam ikut ajar gak,orang awam ikut ajar gak
yg garis bawah gak prestasi,garis bawah gak prestasi
pelatihab hacker wkwkwkw latih cyber security,pelatihab hacker wkwkwkw latih cyber security
bener bang jogja banget anak pinter it hacking temen gua aja rela kuliah sana,bener jogja banget anak pinter hacking temen gua rela kuliah sana
hoax wkwk,hoax
gas bg lapakwd,gas lapakwd
kentmurphii kuliah bang,kentmurphii kuliah
2003 udh publikasi gk luas gampang,udh publikasi luas gampang
bejouhuy123 lu yg lawak kaya liat ga ikut ctf latih kemarin russia latih hacker dunia indonesia perwakilanya 14 orang ikut latih cybersecurity sana lawak ngatain lawak kocak,bejouhuy lawak kaya liat ikut ctf latih kemarin russia latih hacker dunia indonesia perwakilanya orang ikut latih cybersecurity sana lawak ngatain lawak kocak
anak2 special cerdas2,anak special cerdas
bot judol njir,bot judol njir
spil bang,spil
mfshort47 latih tdk gratis,mfshort latih tdk gratis
inyiakputiahl9v bang,inyiakputiahlv
inyiakputiahl9v nyuruh tuyul,inyiakputiahlv nyuruh tuyul
bug bounty proses ajar bug bounty jga,bug bounty proses ajar bug bounty jga
kocak polklu gitu pol stan up komedi,kocak polklu gitu pol stan komedi
emang bpa2 coklat ni pintar bikin malu,emang bpa coklat pintar bikin malu
bjorka banget ngeliatin masyarakat isi otak istansi,bjorka banget ngeliatin masyarakat isi otak istansi
gw ngefans bjorka otw ganti nama sosmed pake nama ah tkut tangkap,ngefans bjorka otw ganti nama sosmed pake nama tkut tangkap
singkat padat yahhh karna engga prestasi kali cuaakksss,singkat padat yahhh karna engga prestasi kali cuaakksss
simpul klo indonesia anak anak muda milik talenta it namum,simpul klo indonesia anak anak muda milik talenta namum
berita bjorka tangkap gue ngakak abis perut sakit cuk bjorkanya mabuk lem,berita bjorka tangkap gue ngakak abis perut sakit cuk bjorkanya mabuk lem
bangga polri kondisi percaya masyarakat moga polri real nangkap hacker sungguh,bangga polri kondisi percaya masyarakat moga polri real nangkap hacker sungguh
kalo konoha mah kalo generasi muda mkin maju pnya mampu khusus sma negara biarin kalo jabat korup piara realitanya,kalo konoha mah kalo generasi muda mkin maju pnya mampu khusus sma negara biarin kalo jabat korup piara realitanya
bjorka kocak gimang,bjorka kocak gimang
inti jngn bantu aparat karna bs balik ujung cm maaf tau anjink nama hancur,inti jngn bantu aparat karna balik ujung maaf tau anjink nama hancur
bnyk yg salah tangkap hukum kacau nih polisi klo salah nangkap mulu,bnyk salah tangkap hukum kacau nih polisi klo salah nangkap mulu
stiap aspek perintah gk mikin org pinter jago yg famili krn validasi yg mumpunin,stiap aspek perintah mikin org pinter jago famili krn validasi mumpunin
iya bener kaya cit ff garena gringo orang brazil butuh sus,bener kaya cit garena gringo orang brazil butuh sus
serius komunitas hacker orang nya asik asik 20122013 tuh join salah grup blackhat isi bener bener orang ga pelit ilmu ilmu yg diajarin kasih catat bijak negara aktivitas nya pantau anak komunitas,serius komunitas hacker orang asik asik tuh join salah grup blackhat isi bener bener orang pelit ilmu ilmu diajarin kasih catat bijak negara aktivitas pantau anak komunitas
policinya sibuk olahraga lari pagi sempet ajar wkwkwk,policinya sibuk olahraga lari pagi sempet ajar
saran bang deddy undang onno purbo beliau sedia kelas gratis,saran deddy undang onno purbo beliau sedia kelas gratis
lihat bjorka jujur ragu narasi indonesia emas 2045,lihat bjorka jujur ragu narasi indonesia emas
5125 polisi temen gw kena salah tangkep narkoboy hp nya trus colokin alat wa wa yg udah hapus gilaaa,polisi temen kena salah tangkep narkoboy trus colokin alat udah hapus gilaaa
hacker kelompok baur,hacker kelompok baur
gw biyorka bjorka ngetawain laku polisi makan goreng cabe rawit nya 3,biyorka bjorka ngetawain laku polisi makan goreng cabe rawit
mas postingannya isi daging wkwk,mas postingannya isi daging
ketawain ethikhal nya wakil banget bajir,ketawain ethikhal wakil banget bajir
tuju bjorka emang pemuda lokal yg samasama kesal laku perintah kek wakil banget wkwkw,tuju bjorka emang pemuda lokal samasama kesal laku perintah kek wakil banget wkwkw
menit 0749 suara bjorka masuk om ded,menit suara bjorka masuk ded
perintah hasil tangkap bjorka bjorka udah yappingnya,perintah hasil tangkap bjorka bjorka udah yappingnya
akwowkw anak punk tuduh,akwowkw anak punk tuduh
si byorka ngmong dc sesimple mulu pdhl yg dgr byangin aj susah bnget,byorka ngmong sesimple mulu pdhl dgr byangin susah bnget
dlm tarung sipat dg sipat jahat indonesia mayoritas muslim besar dunia kwalitas iman muslim indonesia takut slalu terombang ambing,dlm tarung sipat sipat jahat indonesia mayoritas muslim besar dunia kwalitas iman muslim indonesia takut slalu terombang ambing
bjorka senyum makan kacang,bjorka senyum makan kacang
tangkap polisi bejorka eh berjirrka,tangkap polisi bejorka berjirrka
nyari maling motor maling aja susah dapet nya situ plat nomer nya wajah si laku nangkep hacker mudah bener wkwkw,nyari maling motor maling susah dapet situ plat nomer wajah laku nangkep hacker mudah bener wkwkw
menit 3700 ken ketawa kalo instansi nujukin kaya gitu,menit ken ketawa kalo instansi nujukin kaya gitu
nakal ditakuttakutin orang dewasa awas polis awas polis dlm pikir polis takut anak2,nakal ditakuttakutin orang dewasa awas polis awas polis dlm pikir polis takut anak
hahhaa polisi konoha kena prank nerasa bangga sdh nangkep tpi bikin malu,hahhaa polisi konoha kena prank nerasa bangga sdh nangkep tpi bikin malu
bjorka lihat podcasts ngemil kacang sukro nyambi nyeblak,bjorka lihat podcasts ngemil kacang sukro nyambi nyeblak
ingat surah albaqarah ayat 1,ingat surah albaqarah ayat
skill isue pake alih isue orang nya udh tangkap pas serang beneran bjoker awokawok langsung miris,skill isue pake alih isue orang udh tangkap pas serang beneran bjoker awokawok langsung miris
kalimat video tulus penuh makna 855yang suka bikin tonton nyaman gak hakim sukses channel,kalimat video tulus penuh makna suka bikin tonton nyaman gak hakim sukses channel
udah gak aneh poliz negara koruptor main judol yg bikin bangkrut bandar judol aja tangkap poliz yg bikin lapor yg tau bandar judol rugi logika wkwkwk,udah gak aneh poliz negara koruptor main judol bikin bangkrut bandar judol tangkap poliz bikin lapor tau bandar judol rugi logika
salah polisi salah masuk polisi aja main curang,salah polisi salah masuk polisi main curang
polisi yg statement sdh tangkap bjorka hukum pecat krn bohong thdp publik ulang klo jabat humas polri baca hasil lapor pangkat gaji resiko tentara medan perang dg gaji tendah resiko taruh nyawa padan jabat gaji resiko,polisi statement sdh tangkap bjorka hukum pecat krn bohong thdp publik ulang klo jabat humas polri baca hasil lapor pangkat gaji resiko tentara medan perang gaji tendah resiko taruh nyawa padan jabat gaji resiko
gak paham sh sandiwara bjorka muncul pas kominfo aju anggar dprstelah anggar cair bjorka ilangpaham,gak paham sandiwara bjorka muncul pas kominfo aju anggar dprstelah anggar cair bjorka ilangpaham
temen autis jenius jago coding it undang acara teknologi,temen autis jenius jago coding undang acara teknologi
alih isu hukum mati koruptor sita aset korupsi laptop nadim mbg minyak up,alih isu hukum mati koruptor sita aset korupsi laptop nadim mbg minyak
sixtyshop software nya orang kalimantan bikin software muda bikin perusahaan2 ga lirik jual software,sixtyshop software orang kalimantan bikin software muda bikin usaha lirik jual software
obrol om teguh chuaakkssnya wkwkw,obrol teguh chuaakkssnya wkwkw
polisi cari kepala bahaya cari kambing hitam nutupin biar gk tau gk kerja ny gaya nya nampang pake kacamata selfi jalan ny ngatur lintas,polisi cari kepala bahaya cari kambing hitam nutupin biar tau kerja gaya nampang pake kacamata selfi jalan ngatur lintas
4500 partai pilih tum nya pakai evoting om tiba2 kejam si yg kalah tiba2 lonjak suara,partai pilih tum pakai evoting tiba kejam kalah tiba lonjak suara
ajar hacking game iseng penasaran gimana sistem jalan pure otodidak kalo digging internet modal vpn,ajar hacking game iseng penasaran gimana sistem jalan pure otodidak kalo digging internet modal vpn
parcok gerombol cari celah naek jabat ga prduli anak punk kamuflase hacker bjorka episode gorong yg jijik muak,parcok gerombol cari celah naek jabat prduli anak punk kamuflase hacker bjorka episode gorong jijik muak
bocor data pakai survey vote pilih bikin akun bot data si guna,bocor data pakai survey vote pilih bikin akun bot data
pajak kendara mewah tagih rumah rumah aja sederhana nama dipake kendara mewah,pajak kendara mewah tagih rumah rumah sederhana nama dipake kendara mewah
perintah indo tu kolot bego hebat wkwkwk,perintah indo kolot bego hebat
sragam coklat emang lawak kalo cari mukabangun woy jangn enak jdi polisi tidur mulu,sragam coklat emang lawak kalo cari mukabangun woy jangn enak jdi polisi tidur mulu
knp gk ad texk kyak yg om,knp texk kyak
gw tuju kelas bayar tp materi kosong harga sampe puluh juta materi bobot kelas gratis,tuju kelas bayar materi kosong harga sampe puluh juta materi bobot kelas gratis
anak indonesia hasil menang lomba bobol security nasa lomba resmi nasa gak dapet spotlight halayak ramai,anak indonesia hasil menang lomba bobol security nasa lomba resmi nasa gak dapet spotlight halayak ramai
gak gimic lo beneran hapal lagu gemesssss,gak gimic beneran hapal lagu gemesssss
bjorka pecah skandal judol,bjorka pecah skandal judol
harga perintah obok obok bjorka,harga perintah obok obok bjorka
